strm,anonymized_emplid,acad_career,Anonymized_Crs_ID,crs_Campus,crs_Level,primary_section,MON,TUES,WED,THURS,FRI,SAT,SUN,Anonymized_Primary_Course_ID,Anonymized_Concurrent_Course_ID
1197,11700,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,13381,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,13672,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,13789,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,14151,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,14273,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,14497,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,15291,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,15487,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,16772,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,16787,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,16934,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,17008,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,17060,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,17738,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,17873,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,18861,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,18902,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,18923,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,19056,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,19093,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,19333,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,19362,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,19416,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,19434,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,19573,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,19770,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,20014,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,20025,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,20117,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,20426,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,20468,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,20767,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,20854,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,20942,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,21283,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,21304,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,21353,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,21419,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,21541,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,21548,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,21734,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,21767,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,22426,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,22479,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,22491,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,22519,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,22556,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,22623,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,22905,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
